action step b1 b2 b3 b4 s1 v1_1_a v1_2_a v1_1_h v1_2_h a1 h1 i1 send1 s2 v2_1_a v2_2_a v2_1_h v2_2_h a2 h2 i2 send2 s3 v3_1_a v3_2_a v3_1_h v3_2_h a3 h3 i3 send3 s4 v4_1_a v4_2_a v4_1_h v4_2_h a4 h4 i4 send4 state_reward1 transition_reward1 state_reward2 transition_reward2 state_reward3 transition_reward3
M2 26 0 1 0 0 0 2 0 1 4 0 0 0 0 3 3 4 1 1 0 0 0 3 0 2 0 1 4 0 0 0 0 0 2 0 1 4 0 0 0 0 4.0 0.0 16.0 0.0 0.0 0.0
[push2_3_0] 27 0 1 0 0 0 2 0 1 4 0 0 0 0 3 3 4 1 1 0 0 1 3 1 2 0 1 4 2 0 0 0 0 2 0 1 4 0 0 0 0 4.0 0.0 16.0 0.0 0.0 0.0
M3 28 0 1 0 0 0 2 0 1 4 0 0 0 0 3 3 4 1 1 0 0 1 3 0 2 0 1 4 0 0 0 0 0 2 0 1 4 0 0 0 0 4.0 0.0 16.0 0.0 0.0 0.0
[push2_3_1] 29 0 1 0 0 0 2 0 1 4 0 0 0 0 0 3 4 1 1 0 0 0 0 1 2 0 1 4 3 1 0 0 0 2 0 1 4 0 0 0 0 4.0 0.0 16.0 0.0 0.0 0.0
M3 30 0 1 0 0 0 2 0 1 4 0 0 0 0 0 3 4 1 1 0 0 0 0 0 2 0 1 4 0 0 0 0 0 2 0 1 4 0 0 0 0 4.0 0.0 16.0 0.0 0.0 0.0
[start1] 31 1 1 0 0 2 2 0 1 4 0 0 0 0 0 3 4 1 1 0 0 0 0 0 2 0 1 4 0 0 0 0 0 2 0 1 4 0 0 0 0 4.0 0.0 16.0 0.0 0.0 0.0
M1 32 1 1 0 0 3 2 0 1 4 0 0 0 2 0 3 4 1 1 0 0 0 0 0 2 0 1 4 0 0 0 0 0 2 0 1 4 0 0 0 0 4.0 0.0 16.0 0.0 0.0 0.0
[push1_2_0] 33 1 1 0 0 3 2 0 1 4 0 0 1 2 1 3 4 1 1 1 0 0 0 0 2 0 1 4 0 0 0 0 0 2 0 1 4 0 0 0 0 4.0 0.0 16.0 0.0 0.0 0.0
M2 34 1 1 0 0 3 2 0 1 4 0 0 1 2 0 1 3 1 1 0 0 0 0 0 2 0 1 4 0 0 0 0 0 2 0 1 4 0 0 0 0 4.0 0.0 16.0 0.0 0.0 0.0
[push1_2_1] 35 1 1 0 0 0 2 0 1 4 0 0 0 0 1 1 3 1 1 2 1 0 0 0 2 0 1 4 0 0 0 0 0 2 0 1 4 0 0 0 0 4.0 0.0 16.0 0.0 0.0 0.0
M2 36 1 1 0 0 0 2 0 1 4 0 0 0 0 0 1 3 1 1 0 0 0 0 0 2 0 1 4 0 0 0 0 0 2 0 1 4 0 0 0 0 4.0 0.0 16.0 0.0 0.0 0.0
[start4] 37 1 1 0 1 0 2 0 1 4 0 0 0 0 0 1 3 1 1 0 0 0 0 0 2 0 1 4 0 0 0 0 2 2 0 1 4 0 0 0 0 4.0 0.0 16.0 0.0 0.0 0.0
M4 38 1 1 0 1 0 2 0 1 4 0 0 0 0 0 1 3 1 1 0 0 0 0 0 2 0 1 4 0 0 0 0 3 2 0 1 4 0 0 0 2 4.0 0.0 16.0 0.0 0.0 0.0
[push4_2_0] 39 1 1 0 1 0 2 0 1 4 0 0 0 0 1 1 3 1 1 4 0 0 0 0 2 0 1 4 0 0 0 0 3 2 0 1 4 0 0 1 2 4.0 0.0 16.0 0.0 0.0 0.0
M2 40 1 1 0 1 0 2 0 1 4 0 0 0 0 0 4 1 1 1 0 0 0 0 0 2 0 1 4 0 0 0 0 3 2 0 1 4 0 0 1 2 4.0 0.0 16.0 0.0 0.0 0.0
[push4_2_1] 41 1 1 0 1 0 2 0 1 4 0 0 0 0 1 4 1 1 1 2 1 0 0 0 2 0 1 4 0 0 0 0 0 2 0 1 4 0 0 0 0 4.0 0.0 16.0 0.0 0.0 1.0
M2 42 1 1 0 1 0 2 0 1 4 0 0 0 0 0 4 1 1 1 0 0 0 0 0 2 0 1 4 0 0 0 0 0 2 0 1 4 0 0 0 0 4.0 0.0 16.0 0.0 0.0 0.0
[start3] 43 0 0 0 0 0 2 0 1 4 0 0 0 0 0 4 1 1 1 0 0 0 0 2 2 0 1 4 0 0 0 0 0 2 0 1 4 0 0 0 0 4.0 0.0 16.0 0.0 0.0 0.0
M3 44 0 0 0 0 0 2 0 1 4 0 0 0 0 0 4 1 1 1 0 0 0 0 3 2 0 1 4 0 0 0 2 0 2 0 1 4 0 0 0 0 4.0 0.0 16.0 0.0 0.0 0.0
[push3_2_0] 45 0 0 0 0 0 2 0 1 4 0 0 0 0 1 4 1 1 1 3 0 0 0 3 2 0 1 4 0 0 1 2 0 2 0 1 4 0 0 0 0 4.0 0.0 16.0 0.0 0.0 0.0
M2 46 0 0 0 0 0 2 0 1 4 0 0 0 0 0 3 4 1 1 0 0 0 0 3 2 0 1 4 0 0 1 2 0 2 0 1 4 0 0 0 0 4.0 0.0 16.0 0.0 0.0 0.0
[push3_2_1] 47 0 0 0 0 0 2 0 1 4 0 0 0 0 1 3 4 1 1 2 1 0 0 0 2 0 1 4 0 0 0 0 0 2 0 1 4 0 0 0 0 4.0 0.0 16.0 0.0 0.0 0.0
M2 48 0 0 0 0 0 2 0 1 4 0 0 0 0 0 3 4 1 1 0 0 0 0 0 2 0 1 4 0 0 0 0 0 2 0 1 4 0 0 0 0 4.0 0.0 16.0 0.0 0.0 0.0
[start1] 49 1 0 0 0 2 2 0 1 4 0 0 0 0 0 3 4 1 1 0 0 0 0 0 2 0 1 4 0 0 0 0 0 2 0 1 4 0 0 0 0 4.0 0.0 16.0 0.0 0.0 0.0
M1 50 1 0 0 0 3 2 0 1 4 0 0 0 2 0 3 4 1 1 0 0 0 0 0 2 0 1 4 0 0 0 0 0 2 0 1 4 0 0 0 0 4.0 ? 16.0 ? 0.0 ?
